variable,coef,estimate,std.error,p.value,spec,L,estimator
tmp2,b2,3.0648060682462726e-5,8.45087130217225e-5,0.7168577271129866,Direct,5,IFE
tmp2,b3,-4.218636418885688e-5,8.327864470967017e-5,0.6124573955044408,Direct,5,IFE
tmp2,b4,1.7252794979000859e-6,8.520280181051981e-5,0.9838446649736562,Direct,5,IFE
tmp2,b5,1.0152875701286356e-4,8.305602958937388e-5,0.221551546066395,Direct,5,IFE
pre,sum,0.008490361222677791,0.017840239821320367,0.6341379908564346,Direct,5,IFE
pre,b0,0.015161070429799774,0.006690737340309441,0.023452667923682745,Direct,5,IFE
pre,b1,-0.007952701980007828,0.006803079425782335,0.24240942748956928,Direct,5,IFE
pre,b2,-0.003992326865647431,0.006787930673227848,0.5564310768718168,Direct,5,IFE
pre,b3,0.0025253363572908783,0.006810530435916552,0.7107874122437627,Direct,5,IFE
pre,b4,-0.0019695106568106096,0.006713458212432617,0.769241241067906,Direct,5,IFE
pre,b5,0.0047184939380530075,0.006744118214414653,0.484148536754355,Direct,5,IFE
pre2,sum,-0.002094076199680547,0.003798807210991801,0.5814652453693541,Direct,5,IFE
pre2,b0,-0.004035173588075281,0.0014745829831872231,0.006209950622855971,Direct,5,IFE
pre2,b1,0.0012929057713356464,0.0015222921956877054,0.3957059723957538,Direct,5,IFE
pre2,b2,0.0013505101080929496,0.0015277420490669533,0.37670111137790213,Direct,5,IFE
pre2,b3,2.471663886676851e-4,0.0015392074798709233,0.8724239770691394,Direct,5,IFE
pre2,b4,5.109553815679066e-4,0.001511450826785111,0.7353208074924722,Direct,5,IFE
pre2,b5,-0.001460440261269454,0.0015143341703753096,0.334839998939296,Direct,5,IFE
tmp,sum,0.015475842104069002,0.004141247424675376,1.862288382276189e-4,Interactive,0,AFE
tmp,b0,0.015475842104069002,0.004141247424675376,1.862288382276189e-4,Interactive,0,AFE
tmp2,sum,-5.656820679805124e-4,1.490575206331658e-4,1.4760841876539e-4,Interactive,0,AFE
tmp2,b0,-5.656820679805124e-4,1.490575206331658e-4,1.4760841876539e-4,Interactive,0,AFE
pre,sum,0.11039273570758609,0.0467866898325755,0.018300064682815125,Interactive,0,AFE
pre,b0,0.11039273570758609,0.0467866898325755,0.018300064682815125,Interactive,0,AFE
pre2,sum,-0.0731393440751056,0.029189867216127433,0.012222946347133046,Interactive,0,AFE
pre2,b0,-0.0731393440751056,0.029189867216127433,0.012222946347133046,Interactive,0,AFE
tmp_pre,sum,-0.011307580366994332,0.004824580677077186,0.019091287642050064,Interactive,0,AFE
tmp_pre,b0,-0.011307580366994332,0.004824580677077186,0.019091287642050064,Interactive,0,AFE
tmp2_pre,sum,3.310600847068774e-4,1.4434330741422682e-4,0.021815765884623122,Interactive,0,AFE
tmp2_pre,b0,3.310600847068774e-4,1.4434330741422682e-4,0.021815765884623122,Interactive,0,AFE
pre2_tmp,sum,0.006653463729768334,0.00260100603105049,0.01052655822060249,Interactive,0,AFE
pre2_tmp,b0,0.006653463729768334,0.00260100603105049,0.01052655822060249,Interactive,0,AFE
