ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,AFE,0,PAN,-0.880504657872467
SSP585,Direct,AFE,0,PER,-0.7017796988874995
SSP585,Direct,AFE,0,PHL,-0.8545046717268352
SSP585,Direct,AFE,0,PNG,-0.8160717314820689
SSP585,Direct,AFE,0,POL,0.4479269175518561
SSP585,Direct,AFE,0,PRI,-0.9430713631608726
SSP585,Direct,AFE,0,PRT,-0.5820112822752823
SSP585,Direct,AFE,0,PRY,-0.8896215410927264
SSP585,Direct,AFE,0,QAT,-0.8875629137291738
SSP585,Direct,AFE,0,ROU,-0.037414947406273935
SSP585,Direct,AFE,0,RUS,3.1624697933057853
SSP585,Direct,AFE,0,SAU,-0.9645083732043555
SSP585,Direct,AFE,0,SDN,-0.9637949520011848
SSP585,Direct,AFE,0,SEN,-0.9245721543787289
SSP585,Direct,AFE,0,SLB,-0.8529521203565016
SSP585,Direct,AFE,0,SLE,-0.8863586677504085
SSP585,Direct,AFE,0,SLV,-0.9479514924311567
SSP585,Direct,AFE,0,SRB,-0.2663359064205998
SSP585,Direct,AFE,0,SUR,-0.9390376901749384
SSP585,Direct,AFE,0,SVK,0.30954229208762873
SSP585,Direct,AFE,0,SWE,1.4117299380146502
SSP585,Direct,AFE,0,TCD,-0.948520967587885
SSP585,Direct,AFE,0,TGO,-0.9237247011332964
SSP585,Direct,AFE,0,THA,-0.8982202417515911
SSP585,Direct,AFE,0,TJK,0.7274065159088472
SSP585,Direct,AFE,0,TKM,-0.7808888059498684
SSP585,Direct,AFE,0,TTO,-0.9378433211438246
SSP585,Direct,AFE,0,TUN,-0.8133247539891372
SSP585,Direct,AFE,0,TUR,-0.4518706766516746
SSP585,Direct,AFE,0,TZA,-0.8259961202409767
SSP585,Direct,AFE,0,UGA,-0.8260653255230804
SSP585,Direct,AFE,0,UKR,0.12361005613724951
SSP585,Direct,AFE,0,URY,-0.5630970529900559
SSP585,Direct,AFE,0,USA,-0.3986779941982862
SSP585,Direct,AFE,0,UZB,-0.4482141949397942
SSP585,Direct,AFE,0,VCT,-0.9370654475056085
SSP585,Direct,AFE,0,VNM,-0.8626273812641294
SSP585,Direct,AFE,0,VUT,-0.7848414547819906
SSP585,Direct,AFE,0,WSM,-0.89659714253375
